sample_idx,golden_out
0,0
1,825
2,3380999
3,10751048
4,23630089
5,41493149
6,61009392
7,75620501
8,76225034
9,53189786
10,-713338
11,-87202791
12,-200349774
13,-326496934
14,-446708314
15,-541439034
16,-596191657
17,-606311944
18,-579076896
19,-532022696
20,-487627598
21,-465935137
22,-477612149
23,-520038248
24,-578134374
25,-629925872
26,-655017064
27,-642852028
28,-597480963
29,-536678174
30,-485428609
31,-466044326
32,-488752961
33,-546694067
34,-617677900
35,-672505255
36,-686808712
37,-651704922
38,-578670926
39,-496159038
40,-438753893
41,-432890278
42,-484960210
43,-577047354
44,-672696243
45,-731085162
46,-724162817
47,-649708025
48,-534337324
49,-424430073
50,-367798337
51,-393249425
52,-496613512
53,-639772335
54,-764202992
55,-814444100
56,-762272135
57,-621258636
58,-444631970
59,-305859741
60,-268785187
61,-359130575
62,-549777292
63,-767389995
64,-919575754
65,-932947129
66,-786876709
67,-528027132
68,-257504063
69,-93182481
70,-120564861
71,-351794865
72,-711129374
73,-1056192074
74,-1230491499
75,-1129150615
76,-752244282
77,-221916915
78,248876411
79,430676341
80,172051732
81,-518933765
82,-1438520613
83,-2147483648
84,-2147483648
85,-1601833430
86,401400941
87,2147483647
88,2147483647
89,2147483647
90,2147483647
91,2147483647
92,2147483647
93,2147483647
94,2147483647
95,2147483647
96,2147483647
97,2147483647
98,2147483647
99,2147483647
100,2147483647
101,2147483647
102,2147483647
103,2147483647
104,2147483647
105,2147483647
106,2147483647
107,2147483647
108,2147483647
109,2147483647
110,2147483647
111,2147483647
112,2147483647
113,2147483647
114,2147483647
115,2147483647
116,2147483647
117,2147483647
118,2147483647
119,2147483647
120,2147483647
121,2147483647
122,2147483647
123,2147483647
124,2147483647
125,2147483647
126,2147483647
127,2147483647
128,2147483647
129,2147483647
130,2147483647
131,2147483647
132,2147483647
133,2147483647
134,2147483647
135,2147483647
136,2147483647
137,2147483647
138,2147483647
139,2147483647
140,2147483647
141,2147483647
142,2147483647
143,2147483647
144,2147483647
145,2147483647
146,2147483647
147,2147483647
148,2147483647
149,2147483647
150,2147483647
151,2147483647
152,2147483647
153,2147483647
154,2147483647
155,2147483647
156,2147483647
157,2147483647
158,2147483647
159,2147483647
160,2147483647
161,2147483647
162,2147483647
163,2147483647
164,2147483647
165,2147483647
166,2147483647
167,2147483647
168,2147483647
169,2147483647
170,2147483647
171,2147483647
172,2147483647
173,2147483647
174,2147483647
175,2147483647
176,2147483647
177,2147483647
178,2147483647
179,2147483647
180,2147483647
181,2147483647
182,2147483647
183,2147483647
184,2147483647
185,2147483647
186,2147483647
187,2147483647
188,2147483647
189,2147483647
190,2147483647
191,2147483647
192,2147483647
193,2147483647
194,2147483647
195,2147483647
196,2147483647
197,2147483647
198,2147483647
199,2147483647
200,2147483647
201,2147483647
202,2147483647
203,2147483647
204,2147483647
205,2147483647
206,2147483647
207,2147483647
208,2147483647
209,2147483647
210,2147483647
211,2147483647
212,2147483647
213,2147483647
214,2147483647
215,2147483647
216,2147483647
217,2147483647
218,2147483647
219,2147483647
220,2147483647
221,2147483647
222,2147483647
223,2147483647
224,2147483647
225,2147483647
226,2147483647
227,2147483647
228,2147483647
229,2147483647
230,2147483647
231,2147483647
232,2147483647
233,2147483647
234,2147483647
235,2147483647
236,2147483647
237,2147483647
238,2147483647
239,2147483647
240,2147483647
241,2147483647
242,2147483647
243,2147483647
244,2147483647
245,2147483647
246,2147483647
247,2147483647
248,2147483647
249,2147483647
250,2147483647
251,2147483647
252,2147483647
253,2147483647
254,2147483647
255,2147483647
256,2147483647
257,2147483647
258,2147483647
259,2147483647
260,2147483647
261,2147483647
262,2147483647
263,2147483647
264,2147483647
265,2147483647
266,2147483647
267,2147483647
268,2147483647
269,2147483647
270,2147483647
271,2147483647
272,2147483647
273,2147483647
274,2147483647
275,2147483647
276,2147483647
277,2147483647
278,2147483647
279,2147483647
280,2147483647
281,2147483647
282,2147483647
283,2147483647
284,2147483647
285,2147483647
286,2147483647
287,2147483647
288,2147483647
289,2147483647
290,1620897529
291,-1919583689
292,-2147483648
293,-2147483648
294,-2147483648
295,-2147483648
296,-2147483648
297,-2145562612
298,-1850792469
299,-2050274937
300,-2147483648
301,-2147483648
302,-2147483648
303,-2147483648
304,-2147483648
305,-2147483648
306,-2147483648
307,-2147483648
308,-2147483648
309,-2147483648
310,-2147483648
311,-2147483648
312,-2147483648
313,-2147483648
314,-2147483648
315,-2147483648
316,-2147483648
317,-2147483648
318,-2147483648
319,-2147483648
320,-2147483648
321,-2147483648
322,-2147483648
323,-2147483648
324,-2147483648
325,-2147483648
326,-2147483648
327,-2147483648
328,-2147483648
329,-2147483648
330,-2147483648
331,-2147483648
332,-2147483648
333,-2147483648
334,-2147483648
335,-2147483648
336,-2147483648
337,-2147483648
338,-2147483648
339,-2147483648
340,-2147483648
341,-2147483648
342,-2147483648
343,-2147483648
344,-2147483648
345,-2147483648
346,-2147483648
347,-2147483648
348,-2147483648
349,-2147483648
350,-2147483648
351,-2147483648
352,-2147483648
353,-2147483648
354,-2147483648
355,-2147483648
356,-2147483648
357,-2147483648
358,-2147483648
359,-2147483648
360,-2147483648
361,-2147483648
362,-2147483648
363,-2147483648
364,-2147483648
365,-2147483648
366,-2100933345
367,-1999136469
368,-1933926483
369,-1903365111
370,-1899332877
371,-1911014218
372,-1928193403
373,-1943511039
374,-1953230982
375,-1956766161
376,-1955823037
377,-1951087388
378,-1946351739
379,-1941616090
380,-1936880441
381,-1932144792
382,-1927409143
383,-1922673494
384,-1917937845
385,-1913202196
386,-1908466547
387,-1903730898
388,-1898995249
389,-1894259600
390,-1889523951
391,-1884788302
392,-1880052653
393,-1875317004
394,-1870581355
395,-1865845706
396,-1861110057
397,-1856374408
398,-1851638759
399,-1846903110
400,-1842167461
401,-1837431812
402,-1832696163
403,-1827960514
404,-1823224865
405,-1818489216
406,-1813753567
407,-1809017918
408,-1804282269
409,-1799546620
410,-1794810971
411,-1790075322
412,-1785339673
413,-1780604024
414,-1775868375
415,-1771132726
416,-1766397077
417,-1761661428
418,-1756925779
419,-1752190130
420,-1747454481
421,-1742718832
422,-1737983183
423,-1733247534
424,-1728511885
425,-1723776236
426,-1719040587
427,-1714304938
428,-1709569289
429,-1704833640
430,-1700097991
431,-1695362342
432,-1690626693
433,-1685891044
434,-1681155395
435,-1676419746
436,-1671684097
437,-1666948448
438,-1662212799
439,-1657477150
440,-1652741501
441,-1648005852
442,-1643270203
443,-1638534554
444,-1633798905
445,-1629063256
446,-1624327607
447,-1619591958
448,-1614856309
449,-1610120660
450,-1605385011
451,-1600649362
452,-1595913713
453,-1591178064
454,-1586442415
455,-1581706766
456,-1576971117
457,-1572235468
458,-1567499819
459,-1562764170
460,-1558028521
461,-1553292872
462,-1548557223
463,-1543821574
464,-1539085925
465,-1534350276
466,-1529614627
467,-1524878978
468,-1520143329
469,-1515407680
470,-1510672031
471,-1505936382
472,-1501200733
473,-1496465084
474,-1491729435
475,-1486993786
476,-1482258137
477,-1477522488
478,-1472786839
479,-1468051190
480,-1463315541
481,-1458579892
482,-1453844243
483,-1449108594
484,-1444372945
485,-1439637296
486,-1434901647
487,-1430165998
488,-1425430349
489,-1420694700
490,-1415959051
491,-1411223402
492,-1406487753
493,-1401752104
494,-1397016455
495,-1392280806
496,-1387545157
497,-1382809508
498,-1378073859
499,-1373338210
500,-1368602561
501,-1363866912
502,-1359131263
503,-1354395614
504,-1349659965
505,-1344924316
506,-1340188667
507,-1335453018
508,-1330717369
509,-1325981720
510,-1321246071
511,-1316510422
512,-1311774773
513,-1307039124
514,-1302303475
515,-1297567826
516,-1292832177
517,-1288096528
518,-1283360879
519,-1278625230
520,-1273889581
521,-1269153932
522,-1264418283
523,-1259682634
524,-1254946985
525,-1250211336
526,-1245475687
527,-1240740038
528,-1236004389
529,-1231268740
530,-1226533091
531,-1221797442
532,-1217061793
533,-1212326144
534,-1207590495
535,-1202854846
536,-1198119197
537,-1193383548
538,-1188647899
539,-1183912250
540,-1179176601
541,-1174440952
542,-1169705303
543,-1164969654
544,-1160234005
545,-1155498356
546,-1150762707
547,-1146027058
548,-1141291409
549,-1136555760
550,-1131820111
551,-1127084462
552,-1122348813
553,-1117613164
554,-1112877515
555,-1108141866
556,-1103406217
557,-1098670568
558,-1093934919
559,-1089199270
560,-1084463621
561,-1079727972
562,-1074992323
563,-1070256674
564,-1065521025
565,-1060785376
566,-1056049727
567,-1051314078
568,-1046578429
569,-1041842780
570,-1037107131
571,-1032371482
572,-1027635833
573,-1022900184
574,-1018164535
575,-1013428886
576,-1008693237
577,-1003957588
578,-999221939
579,-994486290
580,-989750641
581,-985014992
582,-980279343
583,-975543694
584,-970808045
585,-966072396
586,-961336747
587,-956601098
588,-951865449
589,-947129800
590,-942394151
591,-937658502
592,-932922853
593,-928187204
594,-923451555
595,-918715906
596,-913980257
597,-909244608
598,-904508959
599,-899773310
600,-895037661
601,-890302012
602,-885566363
603,-880830714
604,-876095065
605,-871359416
606,-866623767
607,-861888118
608,-857152469
609,-852416820
610,-847681171
611,-842945522
612,-838209873
613,-833474224
614,-828738575
615,-824002926
616,-819267277
617,-814531628
618,-809795979
619,-805060330
620,-800324681
621,-795589032
622,-790853383
623,-786117734
624,-781382085
625,-776646436
626,-771910787
627,-767175138
628,-762439489
629,-757703840
630,-752968191
631,-748232542
632,-743496893
633,-738761244
634,-734025595
635,-729289946
636,-724554297
637,-719818648
638,-715082999
639,-710347350
640,-705611701
641,-700876052
642,-696140403
643,-691404754
644,-686669105
645,-681933456
646,-677197807
647,-672462158
648,-667726509
649,-662990860
650,-658255211
651,-653519562
652,-648783913
653,-644048264
654,-639312615
655,-634576966
656,-629841317
657,-625105668
658,-620370019
659,-615634370
660,-610898721
661,-606163072
662,-601427423
663,-596691774
664,-591956125
665,-587220476
666,-582484827
667,-577749178
668,-573013529
669,-568277880
670,-563542231
671,-558806582
672,-554070933
673,-549335284
674,-544599635
675,-539863986
676,-535128337
677,-530392688
678,-525657039
679,-520921390
680,-516185741
681,-511450092
682,-506714443
683,-501978794
684,-497243145
685,-492507496
686,-487771847
687,-483036198
688,-478300549
689,-473564900
690,-468829251
691,-464093602
692,-459357953
693,-454622304
694,-449886655
695,-445151006
696,-440415357
697,-435679708
698,-430944059
699,-426208410
700,-421472761
701,-416737112
702,-412001463
703,-407265814
704,-402530165
705,-397794516
706,-393058867
707,-388323218
708,-383587569
709,-378851920
710,-374116271
711,-369380622
712,-364644973
713,-359909324
714,-355173675
715,-350438026
716,-345702377
717,-340966728
718,-336231079
719,-331495430
720,-326759781
721,-322024132
722,-317288483
723,-312552834
724,-307817185
725,-303081536
726,-298345887
727,-293610238
728,-288874589
729,-284138940
730,-279403291
731,-274667642
732,-269931993
733,-265196344
734,-260460695
735,-255725046
736,-250989397
737,-246253748
738,-241518099
739,-236782450
740,-232046801
741,-227311152
742,-222575503
743,-217839854
744,-213104205
745,-208368556
746,-203632907
747,-198897258
748,-194161609
749,-189425960
750,-184690311
751,-179954662
752,-175219013
753,-170483364
754,-165747715
755,-161012066
756,-156276417
757,-151540768
758,-146805119
759,-142069470
760,-137333821
761,-132598172
762,-127862523
763,-123126874
764,-118391225
765,-113655576
766,-108919927
767,-104184278
768,-99448629
769,-94712980
770,-89977331
771,-85241682
772,-80506033
773,-75770384
774,-71034735
775,-66299086
776,-61563437
777,-56827788
778,-52092139
779,-47356490
780,-42620841
781,-37885192
782,-33149543
783,-28413894
784,-23678245
785,-18942596
786,-14206947
787,-9471298
788,-4735649
789,0
790,4735649
791,9471298
792,14206947
793,18942596
794,23678245
795,28413894
796,33149543
797,37885192
798,42620841
799,47356490
800,52092139
801,56827788
802,61563437
803,66299086
804,71034735
805,75770384
806,80506033
807,85241682
808,89977331
809,94712980
810,99448629
811,104184278
812,108919927
813,113655576
814,118391225
815,123126874
816,127862523
817,132598172
818,137333821
819,142069470
820,146805119
821,151540768
822,156276417
823,161012066
824,165747715
825,170483364
826,175219013
827,179954662
828,184690311
829,189425960
830,194161609
831,198897258
832,203632907
833,208368556
834,213104205
835,217839854
836,222575503
837,227311152
838,232046801
839,236782450
840,241518099
841,246253748
842,250989397
843,255725046
844,260460695
845,265196344
846,269931993
847,274667642
848,279403291
849,284138940
850,288874589
851,293610238
852,298345887
853,303081536
854,307817185
855,312552834
856,317288483
857,322024132
858,326759781
859,331495430
860,336231079
861,340966728
862,345702377
863,350438026
864,355173675
865,359909324
866,364644973
867,369380622
868,374116271
869,378851920
870,383587569
871,388323218
872,393058867
873,397794516
874,402530165
875,407265814
876,412001463
877,416737112
878,421472761
879,426208410
880,430944059
881,435679708
882,440415357
883,445151006
884,449886655
885,454622304
886,459357953
887,464093602
888,468829251
889,473564900
890,478300549
891,483036198
892,487771847
893,492507496
894,497243145
895,501978794
896,506714443
897,511450092
898,516185741
899,520921390
900,525657039
901,530392688
902,535128337
903,539863986
904,544599635
905,549335284
906,554070933
907,558806582
908,563542231
909,568277880
910,573013529
911,577749178
912,582484827
913,587220476
914,591956125
915,596691774
916,601427423
917,606163072
918,610898721
919,615634370
920,620370019
921,625105668
922,629841317
923,634576966
924,639312615
925,644048264
926,648783913
927,653519562
928,658255211
929,662990860
930,667726509
931,672462158
932,677197807
933,681933456
934,686669105
935,691404754
936,696140403
937,700876052
938,705611701
939,710347350
940,715082999
941,719818648
942,724554297
943,729289946
944,734025595
945,738761244
946,743496893
947,748232542
948,752968191
949,757703840
950,762439489
951,767175138
952,771910787
953,776646436
954,781382085
955,786117734
956,790853383
957,795589032
958,800324681
959,805060330
960,809795979
961,814531628
962,819267277
963,824002926
964,828738575
965,833474224
966,838209873
967,842945522
968,847681171
969,852416820
970,857152469
971,861888118
972,866623767
973,871359416
974,876095065
975,880830714
976,885566363
977,890302012
978,895037661
979,899773310
980,904508959
981,909244608
982,913980257
983,918715906
984,923451555
985,928187204
986,932922853
987,937658502
988,942394151
989,947129800
990,951865449
991,956601098
992,961336747
993,966072396
994,970808045
995,975543694
996,980279343
997,985014992
998,989750641
999,994486290
1000,999221939
1001,1003957588
1002,1008693237
1003,1013428886
1004,1018164535
1005,1022900184
1006,1027635833
1007,1032371482
1008,1037107131
1009,1041842780
1010,1046578429
1011,1051314078
1012,1056049727
1013,1060785376
1014,1065521025
1015,1070256674
1016,1074992323
1017,1079727972
1018,1084463621
1019,1089199270
1020,1093934919
1021,1098670568
1022,1103406217
1023,1108141866
1024,1112877515
1025,1117613164
1026,1122348813
1027,1127084462
1028,1131820111
1029,1136555760
1030,1141291409
1031,1146027058
1032,1150762707
1033,1155498356
1034,1160234005
1035,1164969654
1036,1169705303
1037,1174440952
1038,1179176601
1039,1183912250
1040,1188647899
1041,1193383548
1042,1198119197
1043,1202854846
1044,1207590495
1045,1212326144
1046,1217061793
1047,1221797442
1048,1226533091
1049,1231268740
1050,1236004389
1051,1240740038
1052,1245475687
1053,1250211336
1054,1254946985
1055,1259682634
1056,1264418283
1057,1269153932
1058,1273889581
1059,1278625230
1060,1283360879
1061,1288096528
1062,1292832177
1063,1297567826
1064,1302303475
1065,1307039124
1066,1311774773
1067,1316510422
1068,1321246071
1069,1325981720
1070,1330717369
1071,1335453018
1072,1340188667
1073,1344924316
1074,1349659965
1075,1354395614
1076,1359131263
1077,1363866912
1078,1368602561
1079,1373338210
1080,1378073859
1081,1382809508
1082,1387545157
1083,1392280806
1084,1397016455
1085,1401752104
1086,1406487753
1087,1411223402
1088,1415959051
1089,1420694700
1090,1425430349
1091,1430165998
1092,1434901647
1093,1439637296
1094,1444372945
1095,1449108594
1096,1453844243
1097,1458579892
1098,1463315541
1099,1468051190
1100,1472786839
1101,1477522488
1102,1482258137
1103,1486993786
1104,1491729435
1105,1496465084
1106,1501200733
1107,1505936382
1108,1510672031
1109,1515407680
1110,1520143329
1111,1524878978
1112,1529614627
1113,1534350276
1114,1539085925
1115,1543821574
1116,1548557223
1117,1553292872
1118,1558028521
1119,1562764170
1120,1567499819
1121,1572235468
1122,1576971117
1123,1581706766
1124,1586442415
1125,1591178064
1126,1595913713
1127,1600649362
1128,1605385011
1129,1610120660
1130,1614856309
1131,1619591958
1132,1624327607
1133,1629063256
1134,1633798905
1135,1638534554
1136,1643270203
1137,1648005852
1138,1652741501
1139,1657477150
1140,1662212799
1141,1666948448
1142,1671684097
