time_ns,input,base,pipeline,l2,l3,diff_pipe,diff_l2,diff_l3
1065000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1075000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1085000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1095000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1105000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1115000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1125000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1135000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1145000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1155000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1165000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1175000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1185000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1195000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1205000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1215000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1225000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1235000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1245000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1255000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1265000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1275000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1285000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1295000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1305000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1315000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1325000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1335000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1345000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1355000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1365000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1375000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1385000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1395000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1405000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1415000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1425000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1435000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1445000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1455000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1465000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1475000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1485000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
1495000,4096,2147483647,2147483647,2147483647,2147483647,0,0,0
